md5_email|date_test|V00|V01|V02|V03|V04|V05|V06|V07|V08|V09|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60
1a61c79ae7d34b1f46b3625ba3f74524|6/10/2007 22:14|1|4.2|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|1|3.4|3.4|3.4|4.2|5|4.2|5|3.4|1|1.8|4.2|4.2|4.2|5|3.4|3.4|3.4|1.8|3.4|1.8|1.8|4.2|1.8|2.6|4.2|1.8|2.6|4.2|5|3.4|4.2|1.8|4.2|3.4|4.2|4.2|3.4|1.8|2.6|2.6|2.6|4.2|4.2|3.4|4.2|2.6|4.2|2.6|2.6
35c2a811443a86408f4cba2e7599b643|6/11/2007 11:12|1|2.6|2.6|4.2|3.4|3.4|1.8|3.4|2.6|4.2|3.4|3.4|2.6|2.6|2.6|2.6|2.6|2.6|3.4|2.6|2.6|2.6|2.6|2.6|4.2|3.4|2.6|3.4|3.4|1.8|3.4|4.2|3.4|4.2|3.4|4.2|3.4|2.6|4.2|4.2|3.4|4.2|3.4|2.6|3.4|2.6|3.4|4.2|2.6|3.4|2.6|4.2|3.4|4.2|4.2|2.6|4.2|3.4|4.2|4.2|3.4
6066b9ebaeb8b3a1ddba3f54aabda61a|6/11/2007 23:07|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
b8cdc5fef066412beb9dd1d9ec1acad0|6/20/2007 14:09|1|4.2|2.6|4.2|1.8|3.4|2.6|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|2.6|3.4|2.6|3.4|3.4|4.2|5|4.2|3.4|4.2|5|5|3.4|4.2|4.2|2.6|1|2.6|4.2|3.4|4.2|1.8|3.4|4.2|3.4|4.2|3.4|2.6|4.2|4.2|1.8|4.2|3.4|2.6|2.6|4.2|4.2|3.4|4.2|3.4|3.4|4.2|4.2|1.8|4.2|3.4
379a4f51d9eb35f2db49ede5107754a1|6/21/2007 11:52|1|4.2|4.2|1.8|3.4|4.2|3.4|2.6|4.2|4.2|4.2|1.8|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|1.8|3.4|3.4|4.2|4.2|1|1.8|3.4|4.2|1.8|4.2|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|3.4|5|4.2|4.2|2.6|4.2|4.2|4.2|4.2|4.2|5|3.4|4.2|4.2|3.4|4.2|4.2|4.2|1.8|4.2
084bd4092e4a381ed9b22d54652eb82d|6/22/2007 12:38|1|4.2|5|1|5|3.4|2.6|2.6|2.6|2.6|3.4|5|5|3.4|3.4|1|3.4|3.4|3.4|3.4|5|5|2.6|2.6|3.4|5|2.6|5|1|5|2.6|5|1.8|2.6|2.6|3.4|5|5|2.6|3.4|3.4|3.4|3.4|2.6|5|2.6|2.6|2.6|2.6|3.4|3.4|3.4|2.6|2.6|2.6|1|2.6|3.4|2.6|2.6|3.4
e1146e3a166da68c359295a736e369c4|6/24/2007 18:45|1|2.6|2.6|4.2|5|4.2|5|4.2|1|4.2|4.2|1.8|2.6|2.6|2.6|3.4|4.2|5|4.2|3.4|2.6|1.8|3.4|5|5|2.6|2.6|4.2|2.6|1.8|3.4|2.6|4.2|4.2|4.2|2.6|5|1.8|3.4|4.2|4.2|1.8|4.2|4.2|2.6|4.2|4.2|5|4.2|3.4|1.8|3.4|3.4|5|5|3.4|4.2|2.6|4.2|3.4|5
e2f490711ca036118141a59a8ceeabf3|6/29/2007 15:43|1|5|2.6|1.8|4.2|4.2|3.4|5|1.8|5|4.2|4.2|5|5|5|4.2|4.2|5|5|5|2.6|3.4|5|4.2|2.6|1.8|5|4.2|5|3.4|4.2|5|4.2|5|4.2|4.2|5|4.2|5|5|3.4|4.2|5|4.2|1.8|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|5|4.2|3.4|4.2|2.6|4.2|1.8
f81eb77563062a31fc0529887f1c84c7|6/30/2007 19:54|1|1.8|5|1.8|1.8|3.4|4.2|2.6|2.6|5|3.4|4.2|1.8|3.4|4.2|3.4|3.4|4.2|3.4|3.4|4.2|2.6|4.2|5|4.2|2.6|2.6|4.2|3.4|4.2|3.4|2.6|5|2.6|3.4|3.4|2.6|3.4|2.6|2.6|1.8|3.4|3.4|4.2|3.4|4.2|5|3.4|1.8|2.6|3.4|2.6|2.6|5|3.4|3.4|5|4.2|5|3.4|2.6
6dbf6a95ceff82f750ce2f9823fb88ba|7/2/2007 17:54|1|3.4|1.8|1.8|2.6|2.6|3.4|5|4.2|4.2|3.4|4.2|4.2|3.4|4.2|4.2|4.2|3.4|4.2|4.2|3.4|4.2|4.2|3.4|3.4|1.8|4.2|4.2|4.2|4.2|2.6|5|4.2|4.2|4.2|5|4.2|4.2|5|2.6|5|4.2|4.2|4.2|5|3.4|4.2|4.2|5|5|2.6|3.4|3.4|4.2|3.4|3.4|4.2|4.2|3.4|5|4.2
8c388fc85d3918ff654cb601c1e2ca35|7/2/2007 19:02|1|1.8|1.8|4.2|5|4.2|5|5|2.6|3.4|5|4.2|2.6|5|1.8|3.4|4.2|5|5|4.2|3.4|1.8|5|4.2|3.4|3.4|1.8|3.4|2.6|2.6|3.4|2.6|3.4|4.2|3.4|3.4|4.2|1.8|4.2|5|4.2|2.6|2.6|5|4.2|4.2|4.2|4.2|3.4|1.8|5|2.6|3.4|4.2|2.6|3.4|4.2|4.2|5|2.6|4.2
3487b118a6027f9632c82d49a1c7fb22|7/8/2007 18:27|1|3.4|1.8|1.8|4.2|4.2|3.4|3.4|3.4|4.2|3.4|2.6|2.6|2.6|3.4|3.4|4.2|4.2|5|3.4|1.8|2.6|3.4|4.2|4.2|1.8|3.4|4.2|3.4|2.6|4.2|3.4|4.2|3.4|4.2|4.2|4.2|2.6|4.2|4.2|3.4|4.2|4.2|3.4|3.4|4.2|3.4|4.2|4.2|2.6|2.6|2.6|3.4|4.2|4.2|3.4|3.4|2.6|4.2|3.4|4.2
0da047044d323281fc3528902f8b338c|7/12/2007 22:43|1|5|4.2|3.4|4.2|2.6|4.2|5|1.8|1.8|5|4.2|3.4|5|1.8|4.2|3.4|3.4|4.2|4.2|3.4|3.4|4.2|3.4|3.4|3.4|4.2|2.6|3.4|5|1|5|1.8|1.8|1.8|2.6|3.4|5|5|1.8|5|4.2|1.8|2.6|5|1.8|1.8|1.8|1|5|4.2|5|4.2|2.6|2.6|3.4|5|5|4.2|4.2|2.6
025443bed7b3f02c724e31072650ad10|7/17/2007 15:20|1|3.4|4.2|1.8|5|4.2|4.2|4.2|1.8|3.4|3.4|3.4|2.6|3.4|4.2|5|3.4|4.2|5|3.4|2.6|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|3.4|3.4|4.2|3.4|3.4|4.2|1|4.2|2.6|4.2|4.2|2.6|3.4|3.4|3.4|4.2|4.2|4.2|4.2|4.2|4.2|2.6|2.6|4.2|4.2|5|3.4|4.2|4.2|3.4|4.2|3.4
7d424931cf2435c844596da75a84bfb5|9/6/2007 13:11|1|3.4|2.6|4.2|3.4|4.2|4.2|3.4|3.4|5|4.2|2.6|3.4|3.4|2.6|5|4.2|5|4.2|3.4|1.8|1.8|4.2|3.4|3.4|1.8|4.2|4.2|3.4|1.8|3.4|3.4|4.2|5|4.2|3.4|5|2.6|4.2|4.2|4.2|3.4|4.2|3.4|4.2|5|4.2|5|5|3.4|3.4|5|4.2|5|5|3.4|4.2|5|3.4|4.2|5
e3d9ef87fb83fa6ca4cc71f195ce1144|9/6/2007 14:58|1|1.8|1.8|1.8|4.2|4.2|1.8|3.4|4.2|4.2|3.4|5|3.4|3.4|2.6|4.2|3.4|3.4|3.4|2.6|1.8|2.6|5|3.4|3.4|1.8|4.2|2.6|2.6|1|4.2|4.2|2.6|2.6|3.4|4.2|3.4|5|5|3.4|3.4|3.4|2.6|3.4|4.2|4.2|4.2|2.6|2.6|3.4|3.4|4.2|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|2.6
8cc7c5553cd7bff415fcd5b38a6abf2c|9/10/2007 18:46|1|2.6|3.4|2.6|4.2|3.4|5|3.4|2.6|5|3.4|4.2|1.8|4.2|3.4|5|4.2|5|3.4|3.4|4.2|4.2|3.4|4.2|2.6|4.2|3.4|4.2|3.4|4.2|3.4|5|3.4|3.4|4.2|5|4.2|4.2|4.2|2.6|5|2.6|5|5|1.8|4.2|3.4|5|5|4.2|4.2|1.8|3.4|4.2|4.2|3.4|4.2|3.4|1|4.2|1.8
ba128ede9df2e9aeff56d46ff4c03f27|9/14/2007 15:28|1|4.2|3.4|1.8|2.6|5|4.2|3.4|4.2|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|5|4.2|3.4|3.4|4.2|1.8|5|4.2|3.4|3.4|2.6|1.8|4.2|4.2|5|5|4.2|4.2|5|5|1.8|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|1.8|5|3.4|1.8|4.2|4.2|4.2|3.4|5|1.8|3.4|5|1.8
af70647b71f8ac8deea9b3bd6410984a|11/1/2007 4:39|1|3.4|3.4|1.8|5|5|5|3.4|4.2|5|5|2.6|4.2|4.2|4.2|2.6|4.2|5|5|3.4|1.8|2.6|5|4.2|4.2|1|5|4.2|3.4|2.6|4.2|4.2|4.2|4.2|5|2.6|4.2|3.4|2.6|4.2|3.4|3.4|5|4.2|5|5|4.2|5|3.4|3.4|4.2|5|4.2|5|4.2|2.6|3.4|4.2|4.2|2.6|3.4
1fe2ab157a336fe14b93e9bdbe66b179|11/26/2007 22:03|1|3.4|3.4|1|4.2|3.4|3.4|5|2.6|5|4.2|3.4|4.2|4.2|5|4.2|5|4.2|3.4|3.4|4.2|3.4|4.2|3.4|4.2|3.4|4.2|5|3.4|3.4|4.2|5|5|3.4|3.4|1.8|4.2|3.4|5|4.2|4.2|2.6|2.6|3.4|4.2|4.2|5|5|4.2|5|4.2|3.4|5|5|4.2|3.4|4.2|5|4.2|3.4|4.2
28d40b5bf3d5c05ae0d4b8a70d0b8585|12/2/2007 20:38|1|2.6|4.2|1.8|4.2|4.2|3.4|3.4|3.4|4.2|3.4|2.6|2.6|4.2|5|3.4|4.2|5|4.2|3.4|2.6|3.4|2.6|4.2|3.4|2.6|3.4|4.2|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|4.2|2.6|4.2|3.4|3.4|4.2|2.6|4.2|2.6|4.2|3.4|3.4|2.6|4.2|4.2|2.6|4.2|5|5|3.4|3.4|4.2|4.2|3.4|3.4
934048848a8fb35c0805ff312abb12a1|12/18/2007 18:51|1|2.6|3.4|3.4|3.4|5|4.2|4.2|4.2|5|4.2|3.4|4.2|4.2|3.4|4.2|5|5|5|3.4|4.2|2.6|4.2|5|3.4|2.6|4.2|4.2|4.2|3.4|4.2|3.4|1.8|4.2|3.4|2.6|4.2|2.6|4.2|4.2|4.2|3.4|3.4|3.4|3.4|5|4.2|5|4.2|4.2|4.2|4.2|5|5|5|2.6|5|4.2|4.2|3.4|4.2
5f18cade630854e18b0c844720b293a8|12/19/2007 14:26|1|1.8|1.8|1.8|3.4|4.2|3.4|4.2|4.2|2.6|3.4|1.8|2.6|3.4|2.6|2.6|3.4|3.4|4.2|2.6|3.4|1.8|2.6|4.2|2.6|1|3.4|2.6|2.6|1.8|2.6|2.6|2.6|5|3.4|3.4|4.2|2.6|3.4|4.2|1.8|1.8|3.4|2.6|2.6|3.4|2.6|4.2|3.4|3.4|1.8|3.4|4.2|3.4|2.6|1.8|3.4|3.4|2.6|3.4|1.8
d924603d581ba82f06a6fa98eeb7f326|1/11/2008 12:31|1|4.2|3.4|1.8|5|4.2|4.2|4.2|1.8|4.2|2.6|5|4.2|2.6|4.2|5|4.2|4.2|3.4|4.2|1.8|1.8|5|3.4|4.2|4.2|5|4.2|4.2|4.2|4.2|5|4.2|3.4|3.4|3.4|3.4|3.4|5|4.2|3.4|5|4.2|4.2|2.6|4.2|5|3.4|4.2|4.2|2.6|5|5|4.2|4.2|3.4|4.2|3.4|5|3.4|5
9dab9503647da5427820da4dba9ce464|1/17/2008 17:16|1|2.6|1.8|4.2|4.2|4.2|3.4|3.4|4.2|5|1.8|2.6|1|1.8|1.8|3.4|3.4|4.2|4.2|1.8|1.8|1.8|2.6|3.4|5|1.8|2.6|3.4|4.2|2.6|3.4|2.6|4.2|4.2|3.4|2.6|5|1.8|4.2|3.4|3.4|1.8|4.2|2.6|3.4|4.2|5|4.2|4.2|2.6|1.8|2.6|4.2|4.2|4.2|1.8|4.2|2.6|5|3.4|5
