car|Exciting|Dependable|Luxurious|Outdoorsy|Powerful|Stylish|Comfortable|Rugged|Fun|Safe|Performance|Family|Versatile|Sports|Status|Practical
Infiniti J30|4|4|4|1|4|4|5|1|4|4|4|1|3|4|4|3
Jeep Grand Cherokee|3|1|2|4|3|3|3|3|2|3|3|5|4|3|3|4
Lexus ES300|4|5|5|1|5|5|5|1|4|4|5|3|3|3|5|3
Chrysler Town & Country|1|3|2|1|2|1|2|1|1|2|1|4|1|1|1|3
Mercedes 280|4|5|5|2|4|5|5|1|3|5|5|4|2|2|5|4
Saab 9000|4|2|5|1|4|4|4|2|4|4|4|4|2|4|4|3
Porsche Boxter|4|4|3|2|4|4|2|4|5|4|4|1|2|5|4|1
Volvo V90|2|4|3|1|3|3|4|1|2|5|2|4|4|1|3|4
BMW 328i|4|4|4|2|3|3|4|2|4|4|4|3|4|2|4|3
Ford Explorer|3|3|2|5|3|2|3|5|3|3|1|4|4|2|2|5
Infiniti J30|2|4|3|1|3|4|4|1|4|4|4|4|3|2|3|4
Jeep Grand Cherokee|3|2|1|5|3|2|3|4|4|4|3|4|3|4|2|3
Lexus ES300|2|5|4|2|3|3|4|2|3|4|3|4|1|3|4|4
Chrysler Town & Country|1|2|2|2|2|1|3|1|1|3|1|5|5|1|2|5
Mercedes 280|3|5|5|2|3|4|4|3|3|5|3|4|2|3|5|3
Saab 9000|4|4|4|4|5|5|4|3|5|5|5|4|4|3|4|4
Porsche Boxter|5|4|4|3|4|4|4|3|5|3|4|1|1|5|5|1
Volvo V90|1|3|1|1|1|1|1|1|2|2|2|5|2|4|1|5
BMW 328i|4|3|3|3|4|4|3|2|4|3|3|2|2|4|5|3
Ford Explorer|2|3|3|5|4|3|4|5|3|4|2|3|4|2|4|2
Infiniti J30|2|3|3|1|2|2|3|1|3|3|3|3|2|1|2|3
Jeep Grand Cherokee|4|5|3|5|4|3|4|5|5|4|4|5|4|5|3|5
Lexus ES300|2|4|4|1|4|4|4|2|4|4|4|4|2|2|4|3
Chrysler Town & Country|2|4|1|3|1|1|3|2|1|3|1|5|4|2|2|4
Mercedes 280|3|5|4|1|3|3|4|1|3|5|3|4|3|3|4|4
Saab 9000|3|3|3|3|3|4|4|3|4|4|4|3|3|4|3|3
Porsche Boxter|4|2|2|1|5|4|2|1|5|2|5|1|1|5|5|1
Volvo V90|1|4|2|3|4|1|4|2|1|5|4|5|4|2|3|4
BMW 328i|4|3|4|2|4|5|4|1|5|3|5|2|3|4|5|3
Ford Explorer|3|4|2|5|3|3|4|4|4|4|2|5|2|2|2|4
Infiniti J30|3|4|4|1|3|3|4|1|3|4|4|3|2|2|4|3
Jeep Grand Cherokee|2|3|4|5|5|4|5|5|3|4|3|4|5|4|4|4
Lexus ES300|4|5|5|1|4|4|5|2|4|4|4|4|3|3|4|5
Chrysler Town & Country|2|3|2|3|2|2|3|2|2|3|1|4|3|2|1|2
Mercedes 280|4|5|5|3|4|5|5|1|4|5|5|3|3|3|5|4
Saab 9000|5|3|3|3|5|4|4|3|5|5|5|3|3|4|3|3
Porsche Boxter|5|4|4|3|4|5|4|3|5|5|5|1|1|5|5|2
Volvo V90|3|4|4|3|4|3|4|4|3|5|3|5|3|3|3|4
BMW 328i|4|5|4|2|4|5|3|2|4|4|5|3|2|4|5|2
Ford Explorer|4|4|4|5|4|4|4|5|4|3|3|4|4|3|3|4
Infiniti J30|3|2|3|1|3|3|4|1|3|3|3|3|2|2|2|3
Jeep Grand Cherokee|4|4|4|5|5|4|4|5|4|4|5|5|5|5|4|4
Lexus ES300|2|5|5|1|2|5|5|1|2|4|4|3|1|1|5|4
Chrysler Town & Country|1|5|4|2|3|2|5|1|5|3|1|5|4|1|4|5
Mercedes 280|3|5|5|1|4|4|4|1|4|4|5|2|4|2|5|3
Saab 9000|3|5|3|3|5|2|4|3|4|4|5|5|4|3|2|3
Porsche Boxter|5|3|1|5|5|5|3|4|5|3|5|1|3|5|5|3
Volvo V90|2|4|3|3|2|3|4|3|2|5|2|5|4|2|3|4
BMW 328i|4|4|5|1|4|5|4|1|4|4|4|2|3|2|4|5
Ford Explorer|3|3|3|5|4|4|4|5|4|4|4|4|5|5|4|4
Infiniti J30|2|3|4|2|4|3|4|1|2|4|3|3|2|2|3|3
Jeep Grand Cherokee|4|3|2|5|4|4|3|5|3|3|2|4|4|4|3|5
Lexus ES300|3|3|3|3|3|3|3|1|3|3|3|3|3|1|3|3
Chrysler Town & Country|2|3|2|3|3|1|3|1|1|4|1|5|2|1|2|4
Mercedes 280|3|3|4|2|4|4|4|2|3|3|4|3|2|4|4|3
Saab 9000|2|1|1|1|4|1|3|1|3|3|3|3|3|3|2|4
Porsche Boxter|5|2|5|4|5|5|2|2|5|2|3|1|2|5|5|2
Volvo V90|2|4|4|1|3|3|4|2|3|5|3|5|5|3|4|5
BMW 328i|3|4|5|1|4|5|4|1|4|4|5|1|3|1|5|2
Infiniti J30|3|3|5|3|4|3|5|3|3|5|4|5|3|3|5|3
Jeep Grand Cherokee|3|3|3|5|4|2|4|4|3|4|3|4|4|3|3|4
Chrysler Town & Country|1|4|1|2|2|1|3|2|1|4|2|5|4|1|1|4
Mercedes 280|4|5|5|3|4|4|4|3|4|5|4|3|3|4|4|3
Saab 9000|4|3|3|2|3|4|3|2|4|3|4|3|3|4|4|2
Porsche Boxter|4|3|4|3|3|5|3|2|4|2|4|2|2|5|5|2
Volvo V90|1|5|2|2|3|1|2|2|2|5|2|5|3|2|2|4
BMW 328i|4|3|2|2|2|4|3|2|5|3|3|3|3|4|3|3
Ford Explorer|3|3|3|4|3|3|3|4|2|3|2|5|5|2|3|5
Infiniti J30|4|4|4|2|4|4|3|2|4|3|4|3|3|4|5|3
Jeep Grand Cherokee|3|3|4|4|3|5|4|3|3|3|3|5|4|3|4|4
Lexus ES300|3|3|4|1|3|3|4|2|3|4|3|3|2|3|4|2
Chrysler Town & Country|1|1|1|3|1|1|3|1|1|1|1|3|1|1|1|1
Saab 9000|3|3|3|3|4|3|3|3|3|4|4|4|4|3|3|4
Porsche Boxter|5|2|3|2|5|5|1|1|5|2|5|1|2|5|5|2
Volvo V90|2|4|2|2|2|2|4|1|2|4|3|5|3|2|3|4
BMW 328i|2|3|3|1|2|3|3|1|3|3|4|2|3|2|4|3
Ford Explorer|4|4|3|5|4|4|4|5|5|4|4|4|4|4|4|4
Infiniti J30|4|4|4|2|5|4|4|3|4|3|4|3|3|4|4|3
Jeep Grand Cherokee|4|4|3|5|4|4|3|5|4|4|3|5|4|5|4|4
Lexus ES300|3|5|4|3|3|3|3|3|3|4|4|3|3|3|4|3
Chrysler Town & Country|2|3|2|3|3|1|4|3|2|4|2|5|3|1|3|4
Saab 9000|4|4|3|3|4|3|3|3|4|3|3|2|3|3|3|3
Porsche Boxter|5|4|4|3|5|5|4|3|5|3|5|1|2|5|5|2
Volvo V90|1|4|3|2|3|1|5|3|1|5|4|5|3|1|3|5
BMW 328i|5|5|4|2|5|4|5|1|5|4|5|3|3|4|5|4
Ford Explorer|3|4|3|5|4|3|4|5|4|4|3|4|4|5|3|3
Jeep Grand Cherokee|4|4|3|5|4|2|4|5|4|3|3|5|5|4|2|5
Lexus ES300|3|5|5|3|4|4|5|1|4|5|5|3|3|3|5|3
Chrysler Town & Country|2|3|3|2|3|3|4|3|3|3|3|5|3|2|2|4
Mercedes 280|3|5|4|2|4|4|4|1|5|4|4|4|3|3|4|4
Saab 9000|4|3|4|3|4|5|4|2|4|4|4|2|2|5|3|3
Porsche Boxter|5|3|4|2|5|5|2|2|5|1|5|2|2|5|4|1
Volvo V90|2|5|3|3|4|4|4|2|2|5|3|3|3|3|3|5
BMW 328i|2|2|3|3|3|3|3|2|4|3|3|2|2|4|3|1
Ford Explorer|3|3|3|5|4|2|3|3|4|4|3|4|1|3|1|2
Infiniti J30|4|4|5|1|5|5|5|1|5|5|5|4|2|2|5|3
Jeep Grand Cherokee|3|3|3|5|4|4|4|4|4|3|3|5|5|4|4|5
Lexus ES300|4|4|5|2|4|5|5|2|4|4|4|4|3|3|5|5
Chrysler Town & Country|1|3|3|3|2|2|3|3|1|4|2|5|2|1|2|3
Mercedes 280|2|1|4|1|2|2|4|1|3|5|3|1|1|3|5|2
Saab 9000|4|4|4|3|4|4|4|4|4|4|4|4|4|4|4|4
Porsche Boxter|5|4|4|4|5|4|4|3|5|4|5|2|3|5|5|2
Volvo V90|3|5|2|3|3|3|4|4|3|5|3|5|3|2|4|4
BMW 328i|4|5|4|3|4|5|5|4|5|5|4|3|3|4|5|5
Ford Explorer|4|4|2|5|4|4|5|5|5|5|4|4|5|5|5|5
Infiniti J30|4|3|3|2|4|4|3|3|4|3|4|2|3|4|3|2
Jeep Grand Cherokee|4|5|3|5|5|3|4|5|3|4|3|5|5|3|4|5
Lexus ES300|5|5|5|3|4|4|4|3|5|4|4|3|3|3|4|4
Chrysler Town & Country|2|4|3|1|3|2|4|1|1|3|2|5|4|1|2|5
Mercedes 280|3|4|3|2|3|3|3|1|4|4|4|4|3|3|3|3
Saab 9000|4|3|4|2|5|4|4|2|5|4|5|3|3|5|4|2
Porsche Boxter|5|3|3|2|5|5|3|2|5|3|5|1|3|5|4|2
Volvo V90|1|5|1|1|1|2|2|2|1|2|1|3|1|1|1|2
BMW 328i|3|3|4|2|3|4|4|2|4|3|4|2|4|4|4|3
Ford Explorer|4|4|4|5|5|4|4|5|5|5|3|3|4|4|3|4
Infiniti J30|2|4|3|2|3|2|3|2|1|3|2|3|2|2|1|3
Jeep Grand Cherokee|3|4|2|5|3|4|5|3|2|5|3|5|3|2|3|5
Lexus ES300|3|3|4|1|3|4|4|1|4|3|4|2|2|1|5|2
Chrysler Town & Country|1|3|2|3|2|1|4|2|1|3|1|5|4|1|2|4
Mercedes 280|3|4|4|2|3|4|5|2|4|5|4|4|4|3|4|4
Saab 9000|4|2|4|2|3|3|4|2|3|3|3|4|4|3|3|3
Porsche Boxter|5|4|5|5|5|5|4|2|5|3|5|1|2|4|5|3
Volvo V90|2|4|3|3|3|2|4|3|2|5|3|5|4|2|3|4
BMW 328i|4|2|4|1|4|5|5|1|4|3|5|3|2|2|5|4
Ford Explorer|3|4|3|5|4|4|5|5|3|4|3|4|4|4|4|3
Infiniti J30|3|4|5|1|4|4|4|1|4|4|4|2|2|2|5|1
Jeep Grand Cherokee|2|3|1|3|2|1|3|3|1|2|1|2|3|3|1|3
Lexus ES300|3|5|4|2|4|2|4|2|4|4|3|4|2|2|3|4
Chrysler Town & Country|2|4|2|3|5|2|4|4|2|5|4|5|4|3|3|4
Mercedes 280|5|5|5|1|5|5|5|1|5|5|5|5|3|1|5|5
Saab 9000|3|3|3|3|4|3|3|3|3|3|4|3|3|3|3|3
Porsche Boxter|5|3|5|3|5|5|3|3|5|3|5|1|3|5|5|2
Volvo V90|3|5|3|4|4|2|3|3|3|5|3|5|2|1|4|5
BMW 328i|4|4|5|2|3|5|4|3|3|3|4|2|3|5|5|2
Ford Explorer|3|4|2|4|4|2|3|4|3|4|3|4|4|3|2|5
Infiniti J30|1|3|3|1|3|3|3|1|3|3|2|4|3|2|3|3
Jeep Grand Cherokee|4|4|3|5|4|4|3|4|5|4|3|4|4|3|4|4
Lexus ES300|4|5|5|2|5|5|5|3|5|5|5|3|3|3|5|3
Chrysler Town & Country|1|4|1|2|3|1|4|3|2|4|1|5|3|1|1|5
Mercedes 280|4|5|5|1|4|4|4|4|3|5|4|3|3|3|5|3
Saab 9000|4|4|3|2|5|4|3|2|5|2|5|1|2|4|5|2
Porsche Boxter|5|4|4|4|5|5|3|4|5|1|5|1|1|5|5|1
Volvo V90|2|5|2|3|3|3|4|3|3|5|3|5|4|3|3|4
BMW 328i|4|4|4|3|4|4|3|2|5|3|4|3|4|3|4|4
Ford Explorer|4|4|2|5|4|3|4|4|4|4|1|4|4|2|4|4
Infiniti J30|4|3|4|1|3|4|4|1|4|4|3|3|3|3|4|3
Jeep Grand Cherokee|4|1|1|5|5|5|3|5|5|3|2|2|5|5|4|4
Lexus ES300|3|3|5|1|4|5|4|1|3|4|4|3|2|1|4|1
Chrysler Town & Country|1|3|2|1|1|1|3|1|1|3|1|5|2|1|1|5
Mercedes 280|5|5|5|4|5|5|5|3|5|5|5|4|4|4|5|4
Saab 9000|4|4|4|1|4|4|4|1|4|4|4|3|4|4|5|3
Porsche Boxter|5|1|5|4|4|4|2|2|5|1|5|1|1|5|5|1
Volvo V90|1|3|3|3|3|3|4|2|1|5|3|5|4|1|3|5
BMW 328i|4|3|4|1|3|5|4|1|5|3|4|1|2|4|5|3
Ford Explorer|5|4|3|5|5|4|4|5|5|4|1|4|3|4|4|3
Infiniti J30|4|3|4|2|3|4|4|2|4|3|4|4|3|4|4|4
Jeep Grand Cherokee|4|3|4|4|3|2|4|2|4|4|4|4|2|1|4|3
Lexus ES300|3|4|5|2|3|4|4|2|3|4|4|3|3|2|5|3
Chrysler Town & Country|2|3|3|4|2|1|5|3|2|4|2|5|3|2|2|3
Mercedes 280|3|5|4|1|3|5|5|4|4|5|4|3|4|3|4|2
Saab 9000|4|4|5|4|4|4|4|3|4|4|4|3|3|2|4|3
Porsche Boxter|5|5|5|5|5|5|5|3|5|4|4|1|3|5|5|4
Volvo V90|3|5|4|4|4|3|4|2|3|5|4|4|4|4|4|5
BMW 328i|4|2|4|1|4|5|5|1|5|4|5|2|2|4|5|2
Ford Explorer|4|3|3|3|3|2|4|3|5|4|3|3|3|3|3|3
Infiniti J30|2|3|3|2|3|3|4|1|2|3|3|4|3|2|3|3
Jeep Grand Cherokee|4|3|4|5|3|4|4|5|4|3|3|4|5|4|3|4
Lexus ES300|3|5|4|2|5|4|4|2|3|4|4|4|3|3|4|3
Chrysler Town & Country|1|4|4|2|2|2|4|2|2|5|2|5|5|2|1|4
Mercedes 280|5|5|5|4|5|5|5|4|5|5|5|4|4|5|5|4
Saab 9000|2|2|2|2|2|2|2|2|2|3|2|3|2|2|2|3
Porsche Boxter|5|3|4|2|4|4|3|2|5|3|4|2|2|5|4|2
Volvo V90|1|5|4|3|4|2|4|2|1|5|4|5|4|1|3|5
BMW 328i|4|4|3|4|4|3|3|3|3|4|4|3|3|2|3|4
Ford Explorer|3|2|3|4|4|3|3|4|4|2|3|4|4|4|2|4
Infiniti J30|3|5|4|2|3|2|4|1|3|5|3|4|3|2|2|3
Jeep Grand Cherokee|3|4|3|4|3|3|3|4|3|4|3|4|4|4|3|5
Lexus ES300|3|4|4|3|4|4|4|3|3|4|3|4|3|1|3|3
Chrysler Town & Country|1|4|2|1|2|1|3|1|1|3|1|5|4|1|1|5
Mercedes 280|3|5|4|3|2|3|5|3|3|5|5|5|4|2|5|4
Saab 9000|3|3|2|2|3|2|2|4|3|4|4|3|3|4|3|3
Porsche Boxter|5|4|3|4|4|4|3|2|5|3|5|1|2|5|5|2
Volvo V90|1|1|1|1|1|1|1|1|1|4|3|5|1|1|3|3
BMW 328i|5|3|4|2|3|4|3|3|5|3|4|2|2|4|5|3
Ford Explorer|1|2|2|5|5|2|4|4|2|3|1|4|4|3|2|1
Infiniti J30|5|5|4|3|4|5|5|4|5|5|4|4|4|3|3|4
Jeep Grand Cherokee|3|1|3|4|3|1|5|3|3|3|1|4|5|3|1|4
Lexus ES300|4|4|4|2|4|5|5|2|4|4|4|4|3|3|4|4
Chrysler Town & Country|1|2|1|1|1|1|2|1|1|3|1|5|5|1|1|5
Mercedes 280|4|5|5|3|5|5|5|1|5|5|5|5|4|3|5|3
Saab 9000|3|4|4|4|4|2|4|3|4|5|4|3|3|3|3|3
Porsche Boxter|5|4|5|5|5|5|3|4|5|4|5|2|4|5|5|3
Volvo V90|1|4|2|1|2|2|3|2|1|5|3|5|1|2|2|5
BMW 328i|4|4|5|1|3|4|4|1|4|4|4|1|1|2|4|3
Ford Explorer|4|4|4|5|4|4|4|5|5|4|4|4|5|5|4|5
Infiniti J30|2|4|4|1|4|4|4|1|3|4|4|4|2|2|3|4
Jeep Grand Cherokee|5|4|3|5|4|4|3|5|5|4|3|3|4|5|3|3
Lexus ES300|4|4|3|2|2|4|4|1|4|4|3|3|3|1|3|1
Chrysler Town & Country|1|3|1|2|2|1|3|1|1|2|1|5|3|1|1|5
Mercedes 280|4|3|5|3|4|4|4|3|4|4|3|3|3|3|4|3
